id,school,level,x,y,safety,attendance,misconduct,instr,teachers,leaders,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,attendance_dev,misconduct_dev,instr_dev
86,Gerald Delgado Kanoon Elementary Magnet School,ES,-0.5567357894891569,-0.0411620633515056,44.0,95.9,3.3,48.0,43.0,61.0,12.920910581006897,Mid,Mid,Mid-Mid,91.76081565169468,48.0,-7.5339366515837085,1.3040723981900442,-15.981900452488688,-3.5248868778280524
87,Grover Cleveland Elementary School,ES,0.1537123387191864,-0.7437517957230954,64.0,95.0,6.1,47.0,44.0,51.0,3.3057287894103107,Mid,Low,Mid-Low,90.94332690364655,47.0,12.466063348416291,0.4040723981900385,-13.181900452488689,-4.524886877828052
88,Hannah G Solomon Elementary School,ES,3.1717630498727853,-0.2983806714243222,78.0,95.8,0.8,62.0,62.0,75.0,13.524650173964309,High,Mid,High-Mid,97.17093781574356,62.0,26.46606334841629,1.2040723981900356,-18.481900452488688,10.475113122171948
89,Hawthorne Elementary Scholastic Academy,ES,5.96170417379956,0.3307389945624658,92.0,96.9,1.2,56.0,84.0,90.0,42.04878741636707,High,Mid,High-Mid,98.1905024340957,56.0,40.46606334841629,2.304072398190044,-18.08190045248869,4.475113122171948
90,Helen M Hefferan Elementary School,ES,0.0380602743932369,0.6329492684913353,29.0,93.8,13.4,63.0,52.0,58.0,21.7798374059441,Mid,High,Mid-High,80.91301552310094,63.0,-22.53393665158371,-0.7959276018099644,-5.881900452488688,11.475113122171948
91,Helge A Haugan Elementary School,ES,-0.9317661777022858,-1.0753913076689483,43.0,96.2,23.4,49.0,30.0,33.0,22.900715849521358,Mid,Low,Mid-Low,73.23413245154771,49.0,-8.533936651583709,1.6040723981900413,4.11809954751131,-2.5248868778280524
92,Henry Clay Elementary School,ES,-1.4327371584939146,-1.6756922588794003,38.0,95.2,6.0,30.0,31.0,24.0,13.996310653840174,Low,Low,Low-Low,88.66538072931019,30.0,-13.533936651583709,0.6040723981900413,-13.281900452488689,-21.524886877828052
93,Henry R Clissold Elementary School,ES,0.4518856304490462,-0.793795868941009,45.0,95.1,8.4,61.0,51.0,38.0,12.398288041369558,Mid,Low,Mid-Low,87.09470010103793,61.0,-6.5339366515837085,0.5040723981900328,-10.881900452488688,9.475113122171948
94,Hiram H Belding Elementary School,ES,0.5879891918885245,-0.4774761837224059,64.0,95.0,21.3,69.0,51.0,49.0,13.419506129529763,Mid,Mid,Mid-Mid,76.98172131900432,69.0,12.466063348416291,0.4040723981900385,2.018099547511312,17.475113122171948
95,Horace Mann Elementary School,ES,-3.172325914963656,-0.508180049899929,28.0,92.6,44.4,30.0,24.0,31.0,24.293874999035943,Low,Low,Low-Low,52.23661247359236,30.0,-23.53393665158371,-1.9959276018099672,25.11809954751131,-21.524886877828052
96,Irene C. Hernandez Middle School for the Advancement of Science,MS,-2.2044577679508675,-1.9183515417269856,34.0,95.5,14.8,27.0,27.0,28.0,17.268366486180444,Low,Low,Low-Low,80.24249104436484,27.0,-16.0,0.41428571428571104,8.785714285714286,-18.142857142857146
97,Irma C Ruiz Elementary School,ES,0.2160417800354046,0.239434197062134,57.0,95.5,15.9,62.0,56.0,51.0,4.592723545992479,Mid,Mid,Mid-Mid,81.34472306420501,62.0,5.4660633484162915,0.9040723981900385,-3.381900452488688,10.475113122171948
98,James B Farnsworth Elementary School,ES,0.9555680903275544,0.2456306825070164,55.0,94.2,1.7,38.0,59.0,63.0,17.46917435768298,High,Mid,High-Mid,94.08468816019105,38.0,3.4660633484162915,-0.3959276018099587,-17.58190045248869,-13.524886877828052
99,James Otis Elementary School,ES,2.355129543705536,2.1730576243449486,83.0,95.5,3.2,58.0,94.0,92.0,44.284579355028,High,High,High-High,95.39818131716726,58.0,31.46606334841629,0.9040723981900385,-16.08190045248869,6.475113122171948
100,James Ward Elementary School,ES,1.575598740273824,-0.8948091687564568,49.0,97.8,1.3,46.0,56.0,63.0,29.30994951484897,High,Low,High-Low,94.23165242950307,46.0,-2.5339366515837085,3.2040723981900356,-17.981900452488688,-5.524886877828052
101,James Weldon Johnson Elementary School,ES,0.5035346161059518,0.8313811946171227,67.0,94.7,1.4,75.0,66.0,63.0,17.063115060346497,Mid,High,Mid-High,95.50840451915127,75.0,15.466063348416291,0.10407239819004133,-17.88190045248869,23.475113122171948
102,Jane Addams Elementary School,ES,0.1544529979001975,-0.6510876395380915,56.0,96.0,5.0,46.0,44.0,47.0,3.9371005965309047,Mid,Low,Mid-Low,91.3107375769266,46.0,4.4660633484162915,1.4040723981900385,-14.281900452488689,-5.524886877828052
103,Jane A Neil Elementary School,ES,-2.260646642870767,-0.1088062137776564,42.0,88.9,5.0,28.0,36.0,40.0,63.03492753230554,Low,Mid,Low-Mid,89.37264627537431,28.0,-9.533936651583709,-5.695927601809956,-14.281900452488689,-23.524886877828052
