school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score
George H Corliss High School,HS,41.70739096,-87.60307842,71.3,33.0,23.4,,,,
George Leland Elementary School,ES,41.87382439,-87.75571809,92.6,,3.3,,,,
George Manierre Elementary School,ES,41.90825367,-87.63986347,91.0,43.0,44.0,,,,
George M Pullman Elementary School,ES,41.68879566,-87.60939383,93.5,59.0,14.6,,,,
George Rogers Clark Elementary School,ES,41.8678323,-87.77038158,93.9,39.0,14.4,,,,
George Washington Carver Military Academy High School,HS,41.65627709,-87.5906566,91.6,53.0,8.9,,,,
George Washington Carver Primary School,ES,41.65367428,-87.59952683,90.9,25.0,15.6,,,,
George Washington Elementary School,ES,41.68810403,-87.53600985,95.5,58.0,5.6,,,,
George Washington High School,HS,41.6881094,-87.5375501,80.2,46.0,12.7,,,,
George W Curtis Elementary School,ES,41.68544575,-87.62166148,93.8,23.0,18.2,,,,
George Westinghouse High School,HS,41.88994963,-87.70734353,93.6,74.0,2.0,,,,
George W Tilton Elementary School,ES,41.88409703,-87.73052949,91.4,6.0,65.5,,,,
Gerald Delgado Kanoon Elementary Magnet School,ES,41.85077575,-87.70507547,95.9,44.0,3.3,,,,
Graeme Stewart Elementary School,ES,41.96434608,-87.65605252,95.2,49.0,77.0,,,,
Granville T Woods Math & Science Academy Elementary School,ES,41.7811649,-87.65468845,91.9,35.0,41.5,,,,
Greater Lawndale High School For Social Justice,HS,41.83601953,-87.73419465,87.5,43.0,16.4,,,,
Grover Cleveland Elementary School,ES,41.9520147,-87.70642927,95.0,64.0,6.1,,,,
Guglielmo Marconi Elementary Community Academy,ES,41.88431659,-87.73936153,91.5,26.0,58.8,,,,
Gurdon S Hubbard High School,HS,41.78050763,-87.71804991,89.3,42.0,4.3,,,,
Gwendolyn Brooks College Preparatory Academy High School,HS,41.69278956,-87.61638144,87.1,64.0,0.1,,,,
Hannah G Solomon Elementary School,ES,41.99397007,-87.72407991,95.8,78.0,0.8,,,,
Hanson Park Elementary School,ES,41.92392771,-87.76152094,95.0,35.0,24.4,,,,
Harold Washington Elementary School,ES,41.72853492,-87.59629327,96.1,28.0,3.1,,,,
Harriet Beecher Stowe Elementary School,ES,41.91196584,-87.7132855,93.8,28.0,13.7,,,,
Harriet E Sayre Elementary Language Academy,ES,41.9141236,-87.79875667,96.2,68.0,2.6,,,,
Hawthorne Elementary Scholastic Academy,ES,41.94228994,-87.65767253,96.9,92.0,1.2,,,,
Helen M Hefferan Elementary School,ES,41.87863685,-87.73583687,93.8,29.0,13.4,,,,
Helen Peirce International Studies Elementary School,ES,41.98342819,-87.66586537,96.7,58.0,5.8,,,,
Helge A Haugan Elementary School,ES,41.96403525,-87.72316496,96.2,43.0,23.4,,,,
Henry Clay Elementary School,ES,41.65455937,-87.544577,95.2,38.0,6.0,,,,
Henry D Lloyd Elementary School,ES,41.91883022,-87.74847861,96.2,,0.0,,,,
Henry H Nash Elementary School,ES,41.89214724,-87.74720292,95.1,41.0,27.9,,,,
Henry O Tanner Elementary School,ES,41.76069854,-87.60682834,91.8,33.0,43.1,,,,
Henry R Clissold Elementary School,ES,41.69305404,-87.6808619,95.1,45.0,8.4,,,,
High School of Leadership at South Shore,HS,41.75619362,-87.57960727,72.0,,43.4,,,,
Hiram H Belding Elementary School,ES,41.95890499,-87.73398223,95.0,64.0,21.3,,,,
Hope College Preparatory High School,HS,41.79355292,-87.64134488,72.2,31.0,24.0,,,,
Horace Greeley Elementary School,ES,41.95283701,-87.65097549,95.9,65.0,6.0,,,,
