school,x,y,level,safety,attendance,misconduct,instr,teachers
609754,-1.2342032817301156,-2.0569353526803127,HS,32.0,90.3,28.2,35.0,48.0
609674,-2.0778955432222532,-3.8381105217831344,HS,27.0,68.8,33.3,30.0,39.0
609899,7.044270803732604,-1.083464945989683,ES,78.0,95.9,9.3,50.0,62.0
609705,-1.9712291270785394,-2.8983889039269655,HS,36.0,74.4,49.8,32.0,42.0
609863,5.033617796203923,0.07415927353308946,ES,66.0,95.5,2.4,55.0,48.0
609790,-2.2912237239435433,0.7385974344604852,ES,25.0,91.7,25.3,34.0,59.0
610347,-0.7788059251547691,1.748440470533663,ES,36.0,92.5,64.2,51.0,59.0
610499,-0.09061399475865116,-1.2384325934378118,HS,60.0,91.4,2.9,46.0,48.0
610170,1.1246222003775412,2.5421697037020077,ES,59.0,95.4,8.9,63.0,72.0
610004,-2.5271536845722227,0.09527049277311328,ES,14.0,94.1,36.9,34.0,48.0
609781,-1.732445878801035,3.185598175270888,ES,45.0,95.2,12.5,57.0,85.0
609873,-4.078684949422049,1.5338354320756578,ES,27.0,92.5,100.5,52.0,31.0
610063,0.17755007186696042,1.0093885130421207,ES,48.0,95.9,4.7,47.0,54.0
609804,1.0752281999880509,0.2055044855255595,ES,52.0,95.5,10.5,48.0,53.0
610083,0.13421361850546176,1.0044506926719556,ES,48.0,91.9,0.0,47.0,48.0
610380,0.3799903299713314,-2.2066488188007014,HS,50.0,91.3,5.4,54.0,48.0
609870,-0.9737553123194315,-0.242039752121831,ES,39.0,94.7,18.1,29.0,48.0
609835,-5.891981885411288,0.5020405026301196,ES,42.0,92.6,153.9,50.0,48.0
610223,-3.943146861858792,0.25311154209904263,ES,30.0,91.6,73.8,36.0,32.0
610221,1.5225429134772477,1.826608223318623,ES,48.0,94.8,5.7,66.0,44.0
609704,-0.8402244115181173,-2.032608438412375,HS,43.0,86.1,18.6,32.0,48.0
610402,0.053505245691201186,-0.7363499097766856,HS,48.0,96.7,0.0,47.0,48.0
609885,-4.74591367190837,1.2167994854813369,ES,41.0,90.7,26.3,35.0,48.0
609859,1.5133979985497432,-0.3935801531442672,ES,47.0,95.3,14.8,52.0,36.0
610515,5.436343029306228,1.7015664889268087,ES,48.0,97.3,0.0,47.0,53.0
610077,-3.3155643030430824,-1.5001305738203734,ES,28.0,93.4,19.6,39.0,32.0
610198,-2.7951726968027377,-1.211184617370959,ES,34.0,95.1,16.6,1.0,48.0
610533,-1.1248776978012855,0.6186013659790038,ES,48.0,94.7,7.0,47.0,48.0
609751,-0.03232855851736161,-1.5890742726477425,HS,48.0,92.9,4.4,47.0,48.0
610266,-2.325908968283615,0.515843574088933,ES,19.0,92.5,38.4,49.0,48.0
610188,0.7152491991521146,2.6649718790020107,ES,46.0,94.6,22.8,71.0,59.0
610352,3.0455770399524114,2.0306101423944414,ES,61.0,95.4,0.7,58.0,74.0
610254,-2.7033828236477615,-1.1354639127371504,ES,46.0,94.2,4.4,69.0,13.0
609736,-2.327715974068801,-3.8734548896065406,HS,27.0,62.5,24.4,47.0,25.0
610132,7.8115491240658645,-0.9351202800704197,ES,99.0,97.6,0.0,88.0,41.0
609901,8.913460283534954,-1.0473123574088332,ES,99.0,96.9,3.4,53.0,70.0
610523,3.838907632831284,-1.6585206597483417,ES,95.0,96.1,6.9,49.0,48.0
609819,-4.81308457298646,-0.28725516797436934,ES,1.0,89.3,82.0,22.0,48.0
609815,-2.019242584944424,1.382711183759731,ES,33.0,92.9,28.0,50.0,58.0
610246,0.9078065657284855,-0.8775048911630803,ES,47.0,95.0,10.3,48.0,48.0
609881,1.2908996310310277,3.606574298664999,ES,38.0,93.4,20.3,52.0,79.0
609862,-0.5249507826060177,1.4359667261333662,ES,22.0,95.1,24.9,54.0,53.0
609909,0.4106512688063953,0.9348655242131313,ES,48.0,95.3,2.4,47.0,45.0
610012,-2.8622486742474047,0.6634922971874087,ES,50.0,88.9,16.0,41.0,26.0
609904,-0.23655664743146798,1.473500187377869,ES,30.0,93.3,17.4,55.0,48.0
610006,1.3556562354943273,0.029602229861797218,ES,77.0,95.4,12.2,49.0,54.0
609735,-0.9921371647347135,-2.362697882225402,HS,34.0,78.4,13.0,37.0,35.0
610315,-0.6900821481355689,1.847039816635096,ES,27.0,93.8,31.0,48.0,48.0
609708,-1.081392797758014,-2.6551959679300214,HS,26.0,84.3,10.3,23.0,48.0
609913,-1.5185722164523154,0.0388028176430722,ES,44.0,91.6,47.5,56.0,28.0
610233,-5.07962123286597,1.4775193259569943,ES,29.0,89.7,67.2,50.0,48.0
610227,-0.6486729846411562,0.9693303093918915,ES,44.0,95.8,11.6,53.0,48.0
610195,5.608922874909014,-1.3318107720234282,ES,86.0,95.6,6.8,59.0,48.0
610119,-1.4122381719041572,1.0408155523876654,ES,51.0,95.2,7.6,61.0,55.0
609852,3.308788174915283,0.5414380541407576,ES,70.0,95.1,2.9,51.0,48.0
610235,-1.9306856197100342,0.7348314335986681,ES,31.0,94.3,3.0,50.0,48.0
609682,-1.9634049602655967,-3.3436864635873853,HS,30.0,90.6,17.3,19.0,34.0
610073,4.158210957846175,3.847804083494495,ES,99.0,95.5,12.2,95.0,90.0
609712,-1.8881412152206078,-2.2373808632544128,HS,13.0,84.8,47.1,28.0,50.0
609973,2.5840924959915226,0.8238156884586875,ES,60.0,96.6,2.8,42.0,79.0
610065,-5.501912921365194,0.3967721470438471,ES,31.0,88.0,95.7,40.0,42.0
609916,-6.499780556550478,1.6213857496875221,ES,30.0,89.9,101.2,63.0,47.0
610203,-0.10551652008225987,0.6281601015971047,ES,48.0,95.8,2.1,47.0,54.0
