school,x,y,level,safety,attendance,misconduct,instr,teachers,outlier_score,cluster_x,cluster_y,cluster,behavior_score,academic_score,safety_dev,instr_dev,misconduct_dev
609836,6.765892944324193,-0.35648577863437575,ES,87.0,96.1,2.3,64.0,47.0,9.529414205473048,High,Mid,High-Mid,98.59841794025036,64.0,37.62770562770563,14.835497835497833,-20.214718614718613
610268,-3.077333909097172,1.0471430006946771,ES,48.0,87.9,41.6,47.0,48.0,7.162651714445463,Low,High,Low-High,81.69495430458491,47.0,-1.3722943722943697,-2.164502164502167,19.085281385281387
609941,-3.1019133924572198,0.6904051241527714,ES,15.0,92.1,43.5,48.0,48.0,14.377918706336851,Low,Mid,Low-Mid,79.85945779894017,48.0,-34.37229437229437,-1.1645021645021671,20.985281385281386
610287,0.9494966533194479,1.7019715331268586,ES,48.0,95.5,28.5,40.0,70.0,7.35221782789734,High,High,High-High,87.01712618078489,40.0,-1.3722943722943697,-9.164502164502167,5.985281385281386
609820,7.4581608497931144,-0.24239223214023164,ES,99.0,96.5,0.7,65.0,48.0,7.043961516139714,High,Mid,High-Mid,99.68896398126105,65.0,49.62770562770563,15.835497835497833,-21.814718614718615
400018,-1.0918325597443912,-2.577359094454175,HS,38.0,76.0,12.4,33.0,48.0,5.86607588498401,Mid,Low,Mid-Low,92.0666615467322,33.0,-11.483870967741936,-11.548387096774192,-3.1967741935483875
610169,-2.688894044618753,0.5762116415295987,ES,23.0,90.5,8.6,34.0,48.0,10.863381951522157,Low,Mid,Low-Mid,93.50664311496814,34.0,-26.37229437229437,-15.164502164502167,-13.914718614718614
610501,-1.075227970938275,-2.092922960492327,HS,38.0,70.1,21.5,53.0,48.0,5.945461166332111,Mid,Low,Mid-Low,88.34574917441057,53.0,-11.483870967741936,8.451612903225808,5.903225806451612
609786,-4.920919110542094,-0.5519101687548102,ES,32.0,92.1,52.1,32.0,16.0,10.598147612536353,Low,Mid,Low-Mid,77.20989171338607,32.0,-17.37229437229437,-17.164502164502167,29.585281385281387
609871,-0.35144049931982335,0.2607323473793175,ES,48.0,60.9,0.0,47.0,48.0,0.0,Mid,Mid,Mid-Mid,96.63236310575225,47.0,-1.3722943722943697,-2.164502164502167,-22.514718614718614
609922,0.5776542614193421,2.424102855130211,ES,75.0,95.3,1.3,66.0,53.0,7.799878140636518,Mid,High,Mid-High,98.49089931648875,66.0,25.62770562770563,16.835497835497833,-21.214718614718613
609764,-0.6899891066317753,-1.786902047194609,HS,46.0,83.7,17.2,45.0,48.0,3.903596865384138,Mid,Low,Mid-Low,90.82635742262498,45.0,-3.483870967741936,0.4516129032258078,1.6032258064516114
610265,-2.1900672725988155,1.1041489236175137,ES,36.0,91.3,26.9,58.0,48.0,6.866828942915346,Low,High,Low-High,87.00944627908763,58.0,-13.37229437229437,8.835497835497833,4.385281385281385
610290,-0.6683068201687619,0.03524441653619994,ES,27.0,95.5,0.3,48.0,37.0,9.869034417940926,Mid,Mid,Mid-Mid,97.03939789570694,48.0,-22.37229437229437,-1.1645021645021671,-22.214718614718613
