school,level,lat,lon,attendance,safety,misconduct,cluster,outlier_score,behavior_score,academic_score,safety_dev,misconduct_dev,attendance_dev,instr_dev
Dvorak Technology Academy,ES,41.85885599,-87.71574626,94.2,46.0,4.4,Low-Low,67.28179414478468,90.77799210067052,69.0,-5.5339366515837085,-14.881900452488688,-0.3959276018099587,17.475113122171948
Dyett High School,HS,41.80204982,-87.61192836,62.5,27.0,24.4,,,,,,,,
Edgar Allan Poe Elementary Classical School,ES,41.70261965,-87.60645552,97.6,99.0,0.0,High-Low,67.59195904091781,100.0,88.0,47.46606334841629,-19.28190045248869,3.004072398190033,36.47511312217195
Edgebrook Elementary School,ES,41.99946016,-87.7618211,96.9,99.0,3.4,High-Low,27.729833135840504,96.81271240929549,53.0,47.46606334841629,-15.881900452488688,2.304072398190044,1.4751131221719476
Edison Park Elementary School,ES,41.99422812,-87.81380814,96.1,95.0,6.9,,,,,,,,
Edmond Burke Elementary School,ES,41.79679285,-87.61617809,89.3,1.0,82.0,,,,,,,,
Edward A Bouchet Math & Science Academy Elementary School,ES,41.76086093,-87.57603849,92.9,33.0,28.0,Low-High,21.528392827381104,67.78726922017084,50.0,-18.53393665158371,8.718099547511311,-1.6959276018099558,-1.5248868778280524
Edward Beasley Elementary Magnet Academic Center,ES,41.79847228,-87.62565509,95.0,47.0,10.3,,,,,,,,
Edward C Delano Elementary School,ES,41.87877166,-87.72464875,93.4,38.0,20.3,Mid-High,34.8128504161261,75.36511435657206,52.0,-13.533936651583709,1.0180995475113122,-1.1959276018099558,0.47511312217194757
Edward Coles Elementary Language Academy,ES,41.74142687,-87.56593332,95.1,22.0,24.9,Mid-High,31.027896757485546,69.82639845687517,54.0,-29.53393665158371,5.61809954751131,0.5040723981900328,2.4751131221719476
Edward Everett Elementary School,ES,41.83154196,-87.68127322,95.3,,2.4,,,,,,,,
Edward Jenner Elementary Academy of the Arts,ES,41.90205805,-87.64101894,88.9,50.0,16.0,Low-Mid,61.971220633057236,80.0036741067328,41.0,-1.5339366515837085,-3.2819004524886886,-5.695927601809956,-10.524886877828052
Edward K Ellington Elementary School,ES,41.885506,-87.76655157,93.3,30.0,17.4,,,,,,,,
Edward N Hurley Elementary School,ES,41.7667583,-87.71950804,95.4,77.0,12.2,Mid-Mid,14.199408437287753,86.57113989161385,49.0,25.46606334841629,-7.081900452488689,0.8040723981900442,-2.5248868778280524
Edward Tilden Career Community Academy High School,HS,41.80751207,-87.64292985,78.4,34.0,13.0,,,,,,,,
Edward White Elementary Career Academy,ES,41.67233661,-87.65055321,93.8,27.0,31.0,,,,,,,,
Edwin G Foreman High School,HS,41.93981043,-87.7541302,84.3,26.0,10.3,,,,,,,,
Elaine O Goodlow Elementary Magnet School,ES,41.78125258,-87.67555599,91.6,44.0,47.5,Low-Mid,35.80468580250085,50.766969780472124,56.0,-7.5339366515837085,28.21809954751131,-2.995927601809967,4.475113122171948
Elihu Yale Elementary School,ES,41.76644232,-87.63209571,89.7,29.0,67.2,,,,,,,,
Eli Whitney Elementary School,ES,41.84006197,-87.7255084,95.8,44.0,11.6,,,,,,,,
Elizabeth H Sutherland Elementary School,ES,41.71142687,-87.67678398,95.6,86.0,6.8,,,,,,,,
Elizabeth Peabody Elementary School,ES,41.89986912,-87.66419014,95.2,51.0,7.6,Mid-Mid,7.3459922844646215,88.38982272435013,61.0,-0.5339366515837085,-11.681900452488689,0.6040723981900413,9.475113122171948
Eliza Chappell Elementary School,ES,41.975867,-87.68325438,95.1,70.0,2.9,High-Mid,6.161330716579673,94.4429135666391,51.0,18.46606334841629,-16.38190045248869,0.5040723981900328,-0.5248868778280524
Ella Flagg Young Elementary School,ES,41.90678358,-87.76717934,94.3,31.0,3.0,,,,,,,,
Ellen H Richards Career Academy High School,HS,41.80285552,-87.66224052,90.6,30.0,17.3,,,,,,,,
Ellen Mitchell Elementary School,ES,41.89205482,-87.68317867,95.5,99.0,12.2,High-High,57.53305283389298,88.60108386148617,95.0,47.46606334841629,-7.081900452488689,0.9040723981900385,43.47511312217195
