id,school,level,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,safety,attendance,misconduct,instr,teachers,leaders,isat_exc_math,isat_exc_read,isat_va_math,isat_va_read
57,Elaine O Goodlow Elementary Magnet School,ES,-0.381359954687176,-1.5973436695715593,1.3778788860133029,0.2754952857953667,-1.1774588848493563,-0.804757738647249,-0.6736050875889773,-0.5017838434447395,-0.4142894845711063,-0.462948554163697,44.0,91.6,47.5,56.0,28.0,35.0,9.8,8.6,-0.2,-0.3
58,Elizabeth Peabody Elementary School,ES,-0.033293329377451754,0.3289606683329777,-0.5344352160304765,0.5778040440631834,0.30121041240332375,0.3789847490141112,-0.7149085187128016,-0.6775058119662435,-1.2866996911450534,-0.9460618366394244,51.0,95.2,7.6,61.0,55.0,57.0,9.1,5.9,-1.1,-0.8
59,Eliza Chappell Elementary School,ES,0.9114589393203711,0.2754522145022917,-0.759695273163453,-0.026813472472450025,-0.08214829429181555,0.32517827230223123,-0.09535705185543746,0.08395605162694103,0.16731731981152517,0.7931459802731942,70.0,95.1,2.9,51.0,48.0,56.0,19.6,17.6,0.4,1.0
60,Ellen Mitchell Elementary School,ES,2.353449244174943,0.4894860298250206,-0.3139679260705421,2.633503600284337,2.21800394587902,1.6703401900992314,0.5241944150019265,0.7152534940930854,-0.705092886762422,-0.462948554163697,99.0,95.5,12.2,95.0,90.0,81.0,30.1,27.3,-0.5,-0.3
61,Emiliano Zapata Elementary Academy,ES,0.41422090316362226,1.0780790219625136,-0.764488040336495,-0.5709692373545201,1.6155831210723728,1.2398883764041915,0.02265275135548902,-0.16986456957078727,-0.5112239519682115,0.9863912932634852,60.0,96.6,2.8,42.0,79.0,73.0,21.6,13.7,-0.3,1.2
62,Emmett Louis Till Math and Science Academy,ES,-1.0277694016909495,-3.5236480074760888,3.6879926634195725,-0.6918927406616467,-0.4107414714590778,-0.05146706468092884,-1.0630374381850347,-0.8337031173186916,-0.6081584193653168,-1.7190430886005883,31.0,88.0,95.7,40.0,42.0,49.0,3.2,3.5,-0.4,-1.6
63,Enrico Fermi Elementary School,ES,-1.0774932053066244,-2.506987384693138,3.9515948579368856,0.6987275473703101,-0.1369138238196926,-0.4281124016640889,-1.216450182359239,-0.8922771068258597,-1.1897652237479481,-1.1393071496297154,30.0,89.9,101.2,63.0,47.0,42.0,0.6,2.6,-1.0,-1.0
64,Eugene Field Elementary School,ES,-0.48080756191852575,1.1850959296238779,-0.4194088038774672,-0.8732779956223368,-2.272769475406897,-1.5580484126135692,-0.6736050875889773,-0.5473413908392034,-0.4142894845711063,-0.07645792818311511,42.0,96.8,10.0,37.0,8.0,21.0,9.8,7.9,-0.2,0.1
65,Evergreen Academy Middle School,MS,0.41422090316362226,0.8105367528091063,-0.6350833266643596,-0.4500457340473934,0.8488657076820941,0.48659770243787126,-0.5732967548596898,-0.45622629605027537,-0.5112239519682115,-0.656193867153988,60.0,96.1,5.5,44.0,65.0,59.0,11.5,9.3,-0.3,-0.5
66,Fairfield Elementary Academy,ES,-1.0277694016909495,-0.634191500619287,1.1813754319185785,-1.054663250583027,-1.3417554734329875,-0.2666929715284489,-1.0099330267401176,-0.7816373488678755,-0.12348608237979057,-0.8494391801442789,31.0,93.4,43.4,34.0,25.0,45.0,4.1,4.3,0.1,-0.7
67,Federico Garcia Lorca Elementary School,ES,0.06615427785389802,1.1850959296238779,1.2005465006107467,0.3964187891024934,1.7798797096560037,1.2936948531160715,-0.7267094990338941,-0.5733742750646115,-1.1897652237479481,-0.26970324117340605,53.0,96.8,43.8,58.0,82.0,74.0,8.9,7.5,-1.0,-0.1
68,Ferdinand Peck Elementary School,ES,-0.033293329377451754,0.9175536604704707,-0.841172315105168,-0.2686604790867034,-0.684569119098463,-0.9661771687828891,0.11706059392423007,-0.16335634851443517,0.4581207220028409,0.8897686367683397,51.0,96.3,1.2,47.0,37.0,32.0,23.2,13.8,0.7,1.1
69,Fernwood Elementary School,ES,-1.1272170089222993,-0.634191500619287,0.4912169590005229,-0.5105074857009567,0.02738276476393852,-0.5895318317997289,-0.5201923434147728,-0.5538496118955554,-0.8989618215566325,-1.8156657450957334,29.0,93.4,29.0,43.0,50.0,39.0,12.4,7.8,-0.7,-1.7
70,Florence Nightingale Elementary School,ES,-0.82887418722825,0.542994483655699,-0.44816540691571954,-0.20819872743314005,1.2322244143772334,0.9708559928447914,-0.5850977351807823,-0.5278167276701475,-0.9958962889537379,-1.332552462620006,35.0,95.6,9.4,48.0,72.0,68.0,11.3,8.2,-0.8,-1.2
71,Foster Park Elementary School,ES,-2.022245474004447,-0.47366613912724415,0.7116842489604575,-1.780204270425787,-0.19167935334756964,0.0023394120309511717,-0.7798139104788111,-0.6905222540789476,-1.2866996911450534,-2.202156371076316,11.0,93.7,33.6,22.0,46.0,50.0,8.0,5.7,-1.1,-2.1
72,Francisco I Madero Middle School,MS,-0.13274093660880154,0.2754522145022917,-0.5583990518956868,-0.2686604790867034,-0.8488657076820941,-0.05146706468092884,-0.36087910908002213,-0.7425880225297635,-1.2866996911450534,-0.8494391801442789,49.0,95.1,7.1,47.0,34.0,49.0,15.1,4.9,-1.1,-0.7
73,Francis M McKay Elementary School,ES,-1.4255598306163486,-0.5806830467886086,-0.4625437084348457,0.15457178248824,0.629803589570586,0.9170495161329114,-0.9155251841713766,-0.6905222540789476,-0.8020273541595273,0.02016472831203036,23.0,93.5,9.1,54.0,61.0,67.0,5.7,5.7,-0.6,0.2
74,Francis Parkman Elementary School,ES,-0.6797027763812253,-2.132428207878374,0.09341728363803245,-0.7523544923152101,-1.1774588848493563,-1.6118548893254492,-0.980430575937386,-0.8597360015440997,-0.5112239519682115,-0.5595712106588425,38.0,90.6,20.7,39.0,28.0,20.0,4.6,3.1,-0.3,-0.4
75,Frank I Bennett Elementary School,ES,-0.2819123474558262,-1.1157675850954232,-0.5871556549339391,0.8801128023310001,0.35597594193120075,0.27137179559035124,-0.4434859713276707,-0.5148002855574434,0.4581207220028409,-0.07645792818311511,46.0,92.5,6.5,66.0,56.0,55.0,13.7,8.4,0.7,0.1
76,Frank W Gunsaulus Elementary Scholastic Academy,ES,-0.2819123474558262,1.0780790219625136,3.2854002208840396,-0.3895839823938301,-1.944176298239635,-0.858564215359129,0.16426451520860072,0.11649715690870105,0.3611862546057356,1.4695045757392124,46.0,96.6,87.3,45.0,14.0,34.0,24.0,18.1,0.6,1.7
77,Frazier Prospective IB Magnet Elementary School,ES,0.41422090316362226,1.1850959296238779,-0.5536062847226447,1.2428833122523801,0.30121041240332375,-0.4281124016640889,0.9667311770429009,0.5915972940223971,1.3305309285767883,1.6627498887295031,60.0,96.8,7.2,72.0,55.0,42.0,37.6,25.4,1.6,1.9
